VENDOR_NAME,CHECK_NUMBER,CHECK_DATE,CHECK_AMOUNT,INVOICE_NUM,INVOICE_DESCRIPTION,DIST_AMOUNT,DISTDESCRIPTION,FUND,FUND_DESCRIPTION,COST_CENTER,COST_DESCRIPTION,ACCOUNT,ACCOUNT_DESCRIPTION,TYPE_OF_DISBUSEMENT
ROBERT HALF INTERNATIONAL,660020,05/01/2015,411.00,42607106,BARBARA LEWIS,82.20,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
ROBERT HALF INTERNATIONAL,660020,05/01/2015,411.00,42607106,BARBARA LEWIS,82.20,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
ROBERT HALF INTERNATIONAL,660020,05/01/2015,411.00,42607106,BARBARA LEWIS,82.20,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
ROBERT HALF INTERNATIONAL,660020,05/01/2015,411.00,42607106,BARBARA LEWIS,82.20,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
ROBERT HALF INTERNATIONAL,660020,05/01/2015,411.00,42607106,BARBARA LEWIS,82.20,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
Donald Coleman,664680,05/21/2015,15.00,TRVS-1501281,TRAVEL SETTLEMENT 5/6/15,-515.50,Travel Advance may 5-6/15,100,General Fund,0,Default,10333,Travel Advance,CHECK
Miscellaneous Vendor,664219,05/19/2015,42.84,1430969414-2556851,PP 2014 31978,42.84,PP 2014 31978,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,660793,05/06/2015,7.93,1440844214-2544375,PP 2014 320356,7.93,PP 2014 320356,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
UNITED RENTALS,664965,05/26/2015,1038.32,104982491-040,CUST# 1065607,1038.32,Equipment Rental,810,Storm Water Operating Fund,91002,Stormwater Maintenance,70511,Equipment Rental,CHECK
B W WILSON PAPER CO,663829,05/15/2015,879.00,1812564,CUST # 1191560  ORDER # 1694156,150.00,"Fldr, Class, Ltr, 2/5 DIV MLA",100,General Fund,4105,Police-Office Of Professional Responsibility,71012,Office Supplies And Stationary,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0449489-001,ACCT # CRPA01-0,0.53,"File folders are perfect for color-coding. Two-tone design features a bright exterior color and a lighter shade interior to reduce misfiling. Single-ply tabs are 1/3 cut in assorted positions. Folders are made of 11 point, acid-free stock.",904,Electric Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,CHECK
RRHA,129114,05/07/2015,62022.62,4-450-15-2,SOUTH BARTON,3634.79,RRHA Contract for FY2015 Southern Barton Heights Program,301,HUD Fund,5001,RRHA Project/Grants,76405,Disposition,EFT
MEGA STAFFING SOLUTIONS INC,661995,05/06/2015,1940.40,300002897,Cust ID # 3007,1940.40,"Loads and Unloads various materials, supplies, and equipment. Cleans parks, sidewalks, and streets; digs and cleans ditches; loads and unloads refuse, sand, gravel, leaves, and building materials; rakes leaves and picks up litter; cleans fl",100,General Fund,2904,DPW-Surface Cleanin,70552,Contract And Temporary Personnel Services,CHECK
BALL OFFICE PRODUCTS LLC,665090,05/27/2015,161.51,0372379-001,ACCT# CORAO-01,66.99,"PKT,FILE,LTR,5.25,EXP,RD",100,General Fund,1001,Attorney-Legal Counsel,71012,Office Supplies And Stationary,CHECK
CINTAS CORP. NO 2,663918,05/18/2015,3436.49,1434544537,cust# 01571,628.16,"Winter 3-in-1 Jackets for WWTP Employees-Maintenance, Operations, Collections",809,Waste Water Operating Fund,93002,Wastewater Maintenance,71011,Uniforms & Safty Supplies-Employee,CHECK
Miscellaneous Vendor,660730,05/06/2015,13.13,1372829113-2544067,PP 2013 73778,13.13,PP 2013 73778,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
WERRES CORPORATION,662414,05/11/2015,450.00,1171324,CUST 10463,225.00,MAINTENANCE CHECK ON AF04742 REFERENCE # 1171323 AND AF04744 REFERENCE #1171324,808,Water Operating Fund,92002,Water Maintenance,70215,Equipment Repair and Maint Services,CHECK
B W WILSON PAPER CO,664348,05/19/2015,95.06,1814717,Cust # 1190433,-11.52,AVE79337 - VIEW BINDERS - PURPLE,100,General Fund,2723,Social Ser-Hsis-Human Serv,71012,Office Supplies And Stationary,CHECK
Blackhawk Security LLC,131781,05/20/2015,3922.64,8,BUTTON WIRELESS KEYFOB - INSTALL PANIC BUTTONS,1098.53,Blackhawk Security - 27 Duress Buttons Purchase and Installation - DAP - CC1510,100,General Fund,1510,Juv Justice-Community Corrections,72153,"Equipment (Less Than 5,000)",EFT
ULTRA VIOLET LASER SUPPLIES,132408,05/26/2015,5445.25,88534,HPCLJ 3000 BLACK TONER,-211.47,"RIC411113 - RICOH 4410L, 4420L DRUM UNIT",100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,EFT
BALL OFFICE PRODUCTS LLC,663742,05/14/2015,389.03,0370758-001,ACCT # CORPI-0,10.00,"BATTERY,ALKA,INDUST,AA,24PK",100,General Fund,501,PDR-Land Use Admini,71012,Office Supplies And Stationary,CHECK
R AND R OFFICE SUPPLY,660040,05/01/2015,3255.05,0459122-001,ACCT CRPOA01-0,13.40,"Energel Alloy Retractable Gel Pen offers a deluxe premium metal barrel and an ideal blend of liquid and gel for the best of both inks. The stainless steel tip delivers the ultimate writing experience as rich liquid, gel ink glides across pa",807,Gas Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,662644,05/12/2015,5.41,1333708313-2549531,MOVED TO HENRICO,2.16,MOVED TO HENRICO,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
DIAMOND SPRINGS WATER,663760,05/14/2015,1356.85,805099320,Cust # 20013000,8.50,Rental of water cooler's for Rm G7 in City Hall and B-29 in the Safety bldg.,100,General Fund,2902,DPW-Gen Svcs-Facili,71012,Office Supplies And Stationary,CHECK
DIAMOND SPRINGS WATER,663760,05/14/2015,1356.85,805099320,Cust # 20013000,8.50,Rental of water cooler's for Rm G7 in City Hall and B-29 in the Safety bldg.,100,General Fund,2902,DPW-Gen Svcs-Facili,71012,Office Supplies And Stationary,CHECK
HENKEL'S AND  MCCOY INC,132032,05/21/2015,312482.46,WLR-I1888,CUSTOMER 1834405,1006.88,Project Supplies,808,Water Operating Fund,92002,Water Maintenance,76104,Utility Operating Supplies,EFT
Byutie Salon LLC,666326,05/29/2015,125.00,JG-6245,Personnel Board Hearing - 6245,125.00,Personnel Board Hearing - 6245,100,General Fund,1204,HR-Employee Relati,70555,Other Services,CHECK
Miscellaneous Vendor,666291,05/29/2015,25.20,1432744914-2582298,PP 2014 65447,25.20,PP 2014 65447,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
BALL OFFICE PRODUCTS LLC,665090,05/27/2015,161.51,0372379-001,ACCT# CORAO-01,16.41,"CREAMER,NON-DAIRY,3/12OZ",100,General Fund,1001,Attorney-Legal Counsel,71012,Office Supplies And Stationary,CHECK
